Observation,Sensor,Location,ResultTime,Result,Platform,Latitude,Longtitude
AirQuality1,MQsensor,Parkinglot_entrance,2021-08-23T16:42:17.659676Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality2,MQsensor,Parkinglot_entrance,2021-08-23T16:42:18.055276Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality3,MQsensor,Parkinglot_entrance,2021-08-23T16:42:18.436647Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality4,MQsensor,Parkinglot_entrance,2021-08-23T16:42:18.862688Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality5,MQsensor,Parkinglot_entrance,2021-08-23T16:42:19.252807Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality6,MQsensor,Parkinglot_entrance,2021-08-23T16:42:19.704792Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality7,MQsensor,Parkinglot_entrance,2021-08-23T16:42:20.090352Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality8,MQsensor,Parkinglot_entrance,2021-08-23T16:42:20.507529Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality9,MQsensor,Parkinglot_entrance,2021-08-23T16:42:20.91238Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality10,MQsensor,Parkinglot_entrance,2021-08-23T16:42:21.400112Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality11,MQsensor,Parkinglot_entrance,2021-08-23T16:42:21.80715Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality12,MQsensor,Parkinglot_entrance,2021-08-23T16:42:22.325654Z,28,Raspberry Pi,50.77040958,6.060266709
AirQuality13,MQsensor,Parkinglot_entrance,2021-08-23T16:42:22.860619Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality14,MQsensor,Parkinglot_entrance,2021-08-23T16:42:24.495958Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality15,MQsensor,Parkinglot_entrance,2021-08-23T16:42:24.924675Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality16,MQsensor,Parkinglot_entrance,2021-08-23T16:42:25.364081Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality17,MQsensor,Parkinglot_entrance,2021-08-23T16:42:25.779504Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality18,MQsensor,Parkinglot_entrance,2021-08-23T16:42:26.246251Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality19,MQsensor,Parkinglot_entrance,2021-08-23T16:42:26.672004Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality20,MQsensor,Parkinglot_entrance,2021-08-23T16:42:27.080011Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality21,MQsensor,Parkinglot_entrance,2021-08-23T16:42:27.47392Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality22,MQsensor,Parkinglot_entrance,2021-08-23T16:42:27.883582Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality23,MQsensor,Parkinglot_entrance,2021-08-23T16:42:28.288752Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality24,MQsensor,Parkinglot_entrance,2021-08-23T16:42:28.684357Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality25,MQsensor,Parkinglot_entrance,2021-08-23T16:42:29.087599Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality26,MQsensor,Parkinglot_entrance,2021-08-23T16:42:29.490232Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality27,MQsensor,Parkinglot_entrance,2021-08-23T16:42:29.890402Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality28,MQsensor,Parkinglot_entrance,2021-08-23T16:42:30.281358Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality29,MQsensor,Parkinglot_entrance,2021-08-23T16:42:30.70875Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality30,MQsensor,Parkinglot_entrance,2021-08-23T16:42:31.146763Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality31,MQsensor,Parkinglot_entrance,2021-08-23T16:42:31.53789Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality32,MQsensor,Parkinglot_entrance,2021-08-23T16:42:31.965642Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality33,MQsensor,Parkinglot_entrance,2021-08-23T16:42:32.362213Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality34,MQsensor,Parkinglot_entrance,2021-08-23T16:42:32.795676Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality35,MQsensor,Parkinglot_entrance,2021-08-23T16:42:33.187469Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality36,MQsensor,Parkinglot_entrance,2021-08-23T16:42:33.643758Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality37,MQsensor,Parkinglot_entrance,2021-08-23T16:42:34.03365Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality38,MQsensor,Parkinglot_entrance,2021-08-23T16:42:34.460702Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality39,MQsensor,Parkinglot_entrance,2021-08-23T16:42:34.849128Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality40,MQsensor,Parkinglot_entrance,2021-08-23T16:42:35.273766Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality41,MQsensor,Parkinglot_entrance,2021-08-23T16:42:35.667467Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality42,MQsensor,Parkinglot_entrance,2021-08-23T16:42:36.094393Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality43,MQsensor,Parkinglot_entrance,2021-08-23T16:42:36.514557Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality44,MQsensor,Parkinglot_entrance,2021-08-23T16:42:36.970792Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality45,MQsensor,Parkinglot_entrance,2021-08-23T16:42:37.378262Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality46,MQsensor,Parkinglot_entrance,2021-08-23T16:42:37.811191Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality47,MQsensor,Parkinglot_entrance,2021-08-23T16:42:38.197695Z,25,Raspberry Pi,50.77040958,6.060266709
AirQuality48,MQsensor,Parkinglot_entrance,2021-08-23T16:42:38.62494Z,25,Raspberry Pi,50.77040958,6.060266709
AirQuality49,MQsensor,Parkinglot_entrance,2021-08-23T16:42:39.050513Z,24,Raspberry Pi,50.77040958,6.060266709
AirQuality50,MQsensor,Parkinglot_entrance,2021-08-23T16:42:39.473938Z,24,Raspberry Pi,50.77040958,6.060266709
AirQuality51,MQsensor,Parkinglot_entrance,2021-08-23T16:42:39.952725Z,23,Raspberry Pi,50.77040958,6.060266709
AirQuality52,MQsensor,Parkinglot_entrance,2021-08-23T16:42:40.403451Z,24,Raspberry Pi,50.77040958,6.060266709
AirQuality53,MQsensor,Parkinglot_entrance,2021-08-23T16:42:40.797883Z,23,Raspberry Pi,50.77040958,6.060266709
AirQuality54,MQsensor,Parkinglot_entrance,2021-08-23T16:42:41.248401Z,24,Raspberry Pi,50.77040958,6.060266709
AirQuality55,MQsensor,Parkinglot_entrance,2021-08-23T16:42:41.643576Z,23,Raspberry Pi,50.77040958,6.060266709
AirQuality56,MQsensor,Parkinglot_entrance,2021-08-23T16:42:42.06331Z,23,Raspberry Pi,50.77040958,6.060266709
AirQuality57,MQsensor,Parkinglot_entrance,2021-08-23T16:42:42.459137Z,23,Raspberry Pi,50.77040958,6.060266709
AirQuality58,MQsensor,Parkinglot_entrance,2021-08-23T16:42:42.886603Z,23,Raspberry Pi,50.77040958,6.060266709
AirQuality59,MQsensor,Parkinglot_entrance,2021-08-23T16:42:43.278128Z,23,Raspberry Pi,50.77040958,6.060266709
AirQuality60,MQsensor,Parkinglot_entrance,2021-08-23T16:42:43.704246Z,24,Raspberry Pi,50.77040958,6.060266709
AirQuality61,MQsensor,Parkinglot_entrance,2021-08-23T16:42:44.132894Z,24,Raspberry Pi,50.77040958,6.060266709
AirQuality62,MQsensor,Parkinglot_entrance,2021-08-23T16:42:44.559556Z,24,Raspberry Pi,50.77040958,6.060266709
AirQuality63,MQsensor,Parkinglot_entrance,2021-08-23T16:42:44.952624Z,25,Raspberry Pi,50.77040958,6.060266709
AirQuality64,MQsensor,Parkinglot_entrance,2021-08-23T16:42:45.406634Z,25,Raspberry Pi,50.77040958,6.060266709
AirQuality65,MQsensor,Parkinglot_entrance,2021-08-23T16:42:45.797349Z,25,Raspberry Pi,50.77040958,6.060266709
AirQuality66,MQsensor,Parkinglot_entrance,2021-08-23T16:42:46.21565Z,25,Raspberry Pi,50.77040958,6.060266709
AirQuality67,MQsensor,Parkinglot_entrance,2021-08-23T16:42:46.617595Z,24,Raspberry Pi,50.77040958,6.060266709
AirQuality68,MQsensor,Parkinglot_entrance,2021-08-23T16:42:47.035325Z,25,Raspberry Pi,50.77040958,6.060266709
AirQuality69,MQsensor,Parkinglot_entrance,2021-08-23T16:42:47.431064Z,25,Raspberry Pi,50.77040958,6.060266709
AirQuality70,MQsensor,Parkinglot_entrance,2021-08-23T16:42:47.854011Z,25,Raspberry Pi,50.77040958,6.060266709
AirQuality71,MQsensor,Parkinglot_entrance,2021-08-23T16:42:48.240929Z,25,Raspberry Pi,50.77040958,6.060266709
AirQuality72,MQsensor,Parkinglot_entrance,2021-08-23T16:42:48.657079Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality73,MQsensor,Parkinglot_entrance,2021-08-23T16:42:49.072055Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality74,MQsensor,Parkinglot_entrance,2021-08-23T16:42:49.476909Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality75,MQsensor,Parkinglot_entrance,2021-08-23T16:42:49.864338Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality76,MQsensor,Parkinglot_entrance,2021-08-23T16:42:50.278055Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality77,MQsensor,Parkinglot_entrance,2021-08-23T16:42:50.666548Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality78,MQsensor,Parkinglot_entrance,2021-08-23T16:42:51.081261Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality79,MQsensor,Parkinglot_entrance,2021-08-23T16:42:51.482767Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality80,MQsensor,Parkinglot_entrance,2021-08-23T16:42:51.901429Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality81,MQsensor,Parkinglot_entrance,2021-08-23T16:42:52.300436Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality82,MQsensor,Parkinglot_entrance,2021-08-23T16:42:52.70813Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality83,MQsensor,Parkinglot_entrance,2021-08-23T16:42:53.110963Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality84,MQsensor,Parkinglot_entrance,2021-08-23T16:42:53.531998Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality85,MQsensor,Parkinglot_entrance,2021-08-23T16:42:53.956345Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality86,MQsensor,Parkinglot_entrance,2021-08-23T16:42:54.386028Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality87,MQsensor,Parkinglot_entrance,2021-08-23T16:42:54.783793Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality88,MQsensor,Parkinglot_entrance,2021-08-23T16:42:55.227419Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality89,MQsensor,Parkinglot_entrance,2021-08-23T16:42:55.645056Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality90,MQsensor,Parkinglot_entrance,2021-08-23T16:42:56.069091Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality91,MQsensor,Parkinglot_entrance,2021-08-23T16:42:56.460855Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality92,MQsensor,Parkinglot_entrance,2021-08-23T16:42:56.912075Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality93,MQsensor,Parkinglot_entrance,2021-08-23T16:42:57.313092Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality94,MQsensor,Parkinglot_entrance,2021-08-23T16:42:57.750705Z,27,Raspberry Pi,50.77040958,6.060266709
AirQuality95,MQsensor,Parkinglot_entrance,2021-08-23T16:42:58.18827Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality96,MQsensor,Parkinglot_entrance,2021-08-23T16:42:58.618494Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality97,MQsensor,Parkinglot_entrance,2021-08-23T16:42:59.013128Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality98,MQsensor,Parkinglot_entrance,2021-08-23T16:42:59.444269Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality99,MQsensor,Parkinglot_entrance,2021-08-23T16:42:59.836281Z,25,Raspberry Pi,50.77040958,6.060266709
AirQuality100,MQsensor,Parkinglot_entrance,2021-08-23T16:43:00.254478Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality101,MQsensor,Parkinglot_entrance,2021-08-23T16:43:00.786039Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality102,MQsensor,Parkinglot_entrance,2021-08-23T16:43:01.21756Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality103,MQsensor,Parkinglot_entrance,2021-08-23T16:43:01.620953Z,26,Raspberry Pi,50.77040958,6.060266709
AirQuality104,MQsensor,Parkinglot_entrance,2021-08-23T16:43:02.049585Z,25,Raspberry Pi,50.77040958,6.060266709
AirQuality105,MQsensor,Parkinglot_entrance,2021-08-23T16:43:02.464074Z,25,Raspberry Pi,50.77040958,6.060266709
AirQuality106,MQsensor,Parkinglot_entrance,2021-08-23T16:43:02.881087Z,25,Raspberry Pi,50.77040958,6.060266709
AirQuality107,MQsensor,Parkinglot_entrance,2021-08-23T16:43:03.269641Z,25,Raspberry Pi,50.77040958,6.060266709
AirQuality108,MQsensor,Parkinglot_entrance,2021-08-23T16:43:03.687769Z,25,Raspberry Pi,50.77040958,6.060266709
